Actual Global Sales,Predicted Global Sales,,Absolute Error,RMSE,Mean Squared Error (MSE)
0.03,0.030347006,,0.011566877,,
0.13,0.130245491,,0.001888393,,
0.07,0.070108238,,0.001546257,,
0.09,0.090143154,,0.001590599,,
0.23,0.24021629,,0.044418652,,
0.03,0.03022509,,0.007503015,,
1.45,1.440056589,,0.006857525,,
0.03,0.030219569,,0.007318958,,
0.18,0.170417015,,0.053238807,,
0.05,0.050349953,,0.006999061,,
0.05,0.050257482,,0.005149645,,
0.1,0.100237631,,0.002376306,,
0.45,0.450073783,,0.000163962,,
1.36,1.360289967,,0.000213211,,
0.07,0.070255356,,0.003647949,,
0.03,0.030391004,,0.013033468,,
0.01,0.010303774,,0.030377447,,
0.31,0.31034452,,0.001111354,,
0.01,0.010279079,,0.027907851,,
0.11,0.110267654,,0.002433214,,
0.12,0.120447025,,0.003725207,,
0.11,0.11010719,,0.000974451,,
0.07,0.07043629,,0.006232712,,
0.23,0.230221338,,0.00096234,,
0.17,0.160151527,,0.057932193,,
0.02,0.020281064,,0.01405318,,
0.22,0.220387077,,0.001759442,,
0.05,0.050131635,,0.002632704,,
0.15,0.150156116,,0.001040771,,
0.05,0.050302408,,0.006048151,,
0.08,0.070230862,,0.122114222,,
0.05,0.040484162,,0.190316761,,
0.46,0.460218049,,0.000474019,,
1.55,1.550205933,,0.00013286,,
0.47,0.470295254,,0.000628199,,
1.15,1.15015745,,0.000136913,,
0.62,0.620034018,,5.49E-05,,
0.11,0.100125165,,0.089771224,,
0.05,0.050278561,,0.005571218,,
0.11,0.120053694,,0.091397222,,
0.19,0.190193914,,0.001020599,,
0.91,0.900179534,,0.010791721,,
0.47,0.480099678,,0.021488676,,
0.44,0.440266575,,0.000605851,,
0.07,0.070322411,,0.004605877,,
1.03,1.030042927,,4.17E-05,,
0.1,0.09019524,,0.0980476,,
0.54,0.540170037,,0.000314883,,
0.04,0.040252537,,0.006313428,,
0.43,0.440277848,,0.023901971,,
0.2,0.210496967,,0.052484833,,
0.05,0.050098279,,0.001965579,,
0.02,0.020320041,,0.01600203,,
0.33,0.330077417,,0.000234596,,
1.75,1.76012217,,0.005784097,,
0.01,0.010214681,,0.02146813,,
0.7,0.700314356,,0.00044908,,
0.05,0.050404213,,0.008084269,,
0.33,0.330199053,,0.00060319,,
0.12,0.12040241,,0.003353415,,
1.06,1.060183282,,0.000172908,,
0.01,0.010282607,,0.028260684,,
0.19,0.190139112,,0.000732171,,
0.15,0.140149056,,0.065672958,,
0.23,0.230327285,,0.001422977,,
0.3,0.300097318,,0.000324394,,
0.11,0.110138473,,0.001258845,,
0.11,0.110505265,,0.004593317,,
0.01,0.010248123,,0.024812277,,
0.06,0.060449673,,0.007494548,,
0.08,0.080216555,,0.002706937,,
0.01,0.0101519,,0.015190042,,
0.24,0.240124512,,0.000518799,,
0.07,0.060206831,,0.139902408,,
0.3,0.300405594,,0.001351978,,
0.11,0.110105145,,0.000955864,,
0.9,0.900100741,,0.000111935,,
7.13,7.129934199,,9.23E-06,,
0.25,0.250377399,,0.001509595,,
0.02,0.020139502,,0.006975082,,
0.01,0.010370411,,0.037041106,,
0.07,0.070453952,,0.006485032,,
1.25,1.25017351,,0.000138808,,
0.11,0.110387322,,0.003521109,,
0.38,0.380103903,,0.000273429,,
2.99,2.990000349,,1.17E-07,,
0.1,0.100423089,,0.004230886,,
0.13,0.130307987,,0.002369134,,
0.04,0.040225891,,0.005647271,,
0.79,0.78009923,,0.01253262,,
1.72,1.720056694,,3.30E-05,,
0.04,0.040285803,,0.007145071,,
0.09,0.090152371,,0.001693007,,
0.24,0.240181037,,0.00075432,,
0.11,0.110216206,,0.001965511,,
1.23,1.23031024,,0.000252228,,
2.04,2.040132359,,6.49E-05,,
0.74,0.750095813,,0.01364299,,
0.4,0.400356814,,0.000892036,,
2.06,2.060032769,,1.59E-05,,
0.02,0.010396393,,0.480180365,,
0.97,0.97007577,,7.81E-05,,
0.95,0.950107533,,0.000113192,,
2.38,2.380020389,,8.57E-06,,
0.16,0.160505737,,0.003160854,,
0.04,0.040217464,,0.005436601,,
0.13,0.13024091,,0.00185315,,
0.19,0.190287349,,0.001512364,,
0.01,0.010093307,,0.009330698,,
0.24,0.240401604,,0.001673349,,
0.01,0.010199951,,0.019995074,,
0.27,0.270389089,,0.001441069,,
3.89,3.890270208,,6.95E-05,,
0.57,0.570243113,,0.000426514,,
1.12,1.120038008,,3.39E-05,,
0.13,0.130422792,,0.003252245,,
0.15,0.150385072,,0.002567147,,
0.12,0.12021594,,0.001799501,,
0.07,0.080495595,,0.149937073,,
0.17,0.16037696,,0.05660612,,
0.26,0.260259295,,0.000997287,,
0.22,0.220271738,,0.001235174,,
0.03,0.020462456,,0.317918136,,
0.23,0.240184071,,0.044278568,,
0.03,0.020404433,,0.319852238,,
4.6,4.610119348,,0.002199858,,
0.19,0.190214057,,0.001126617,,
0.03,0.02044303,,0.318565652,,
0.04,0.040481857,,0.012046424,,
0.23,0.230301619,,0.001311389,,
0.44,0.450184482,,0.023146549,,
0.13,0.130220243,,0.001694177,,
0.18,0.180075446,,0.000419145,,
0.64,0.630145603,,0.015397495,,
5,4.989750357,,0.002049929,,
0.89,0.880201694,,0.011009333,,
0.64,0.65028328,,0.016067625,,
0.59,0.600240715,,0.017357144,,
0.19,0.180258829,,0.051269323,,
0.74,0.730143849,,0.013319124,,
0.27,0.270186872,,0.000692118,,
0.57,0.580287713,,0.01804862,,
0.08,0.080442468,,0.005530854,,
0.15,0.150295143,,0.001967621,,
0.02,0.010353039,,0.48234803,,
0.2,0.190260811,,0.048695946,,
0.4,0.400298837,,0.000747094,,
31.37,31.3789064,,0.000283915,,
0.33,0.330404558,,0.001225933,,
0.89,0.900220047,,0.011483199,,
0.13,0.130166197,,0.001278438,,
0.65,0.65010448,,0.000160738,,
0.08,0.080476852,,0.005960647,,
0.04,0.040363016,,0.009075411,,
0.01,0.010426167,,0.042616678,,
0.58,0.570197249,,0.016901296,,
0.13,0.140251,,0.078853846,,
0.03,0.030194853,,0.006495091,,
0.16,0.160401042,,0.00250651,,
0.39,0.390390306,,0.001000786,,
0.65,0.650282754,,0.000435007,,
0.37,0.370315209,,0.000851916,,
2,2.000101159,,5.06E-05,,
1.02,1.020030831,,3.02E-05,,
0.46,0.460351656,,0.00076447,,
0.11,0.110160364,,0.001457856,,
0.7,0.700180818,,0.000258312,,
0.03,0.03027794,,0.009264653,,
0.11,0.110134855,,0.001225956,,
0.4,0.400176786,,0.000441965,,
4.09,4.089816237,,4.49E-05,,
0.26,0.250166713,,0.037820334,,
0.05,0.050082446,,0.00164892,,
0.62,0.620354505,,0.000571782,,
2.04,2.04002128,,1.04E-05,,
0.2,0.200525265,,0.002626325,,
0.1,0.100152154,,0.001521541,,
0.03,0.030218881,,0.007296032,,
0.26,0.260151376,,0.000582217,,
0.28,0.290068125,,0.03595759,,
0.16,0.160239861,,0.001499133,,
0.1,0.100210861,,0.002108607,,
0.89,0.88024316,,0.010962742,,
0.05,0.04043044,,0.191391194,,
0.35,0.350116966,,0.000334187,,
0.27,0.260198912,,0.036300327,,
0.02,0.02026657,,0.013328497,,
0.05,0.050300255,,0.006005105,,
0.06,0.060412405,,0.006873419,,
0.39,0.390127118,,0.000325943,,
0.15,0.150152906,,0.001019375,,
0.11,0.11047558,,0.004323453,,
0.05,0.050223647,,0.004472948,,
0.06,0.060464759,,0.00774598,,
0.39,0.39043836,,0.001124,,
0.04,0.040257987,,0.006449669,,
0.06,0.060206067,,0.003434443,,
0.09,0.080231349,,0.108540561,,
1.09,1.090148279,,0.000136035,,
0.12,0.120405746,,0.003381217,,
0.11,0.12025407,,0.093218817,,
0.39,0.390251292,,0.000644339,,
0.05,0.050376775,,0.007535509,,
0.02,0.020461707,,0.023085344,,
0.13,0.130241912,,0.001860864,,
0.06,0.060197704,,0.00329507,,
0.82,0.82018606,,0.000226902,,
0.03,0.030421924,,0.014064136,,
0.07,0.070490374,,0.00700534,,
0.01,0.0104081,,0.040809976,,
0.01,0.010441911,,0.044191056,,
0.14,0.140127778,,0.0009127,,
0.03,0.030246576,,0.008219216,,
0.19,0.190213668,,0.001124568,,
0.13,0.130131018,,0.00100783,,
0.98,0.980386977,,0.000394875,,
0.01,0.010326415,,0.032641457,,
0.1,0.100317082,,0.00317082,,
0.2,0.200354049,,0.001770245,,
0.4,0.400375816,,0.00093954,,
0.1,0.100305139,,0.003051394,,
0.06,0.05027122,,0.162146328,,
0.18,0.180317782,,0.001765458,,
0.85,0.850002155,,2.54E-06,,
0.06,0.060204452,,0.003407532,,
0.09,0.100336967,,0.114855188,,
0.1,0.100424176,,0.004241757,,
0.22,0.220197424,,0.000897382,,
0.03,0.030367864,,0.012262145,,
0.03,0.030244156,,0.008138528,,
0.01,0.01026877,,0.026876954,,
0.03,0.020223541,,0.325881976,,
0.02,0.010388314,,0.480584301,,
0.19,0.19022817,,0.001200893,,
0.37,0.370475979,,0.001286429,,
0.04,0.040439088,,0.010977195,,
2.25,2.250128429,,5.71E-05,,
1.46,1.450087677,,0.006789263,,
0.05,0.050312763,,0.006255258,,
9.87,9.869815266,,1.87E-05,,
0.09,0.090269682,,0.00299647,,
1.27,1.269974365,,2.02E-05,,
0.25,0.260143572,,0.040574288,,
0.01,0.010406768,,0.040676826,,
0.02,0.020271589,,0.013579471,,
0.21,0.210469588,,0.002236132,,
0.13,0.120111941,,0.076061993,,
0.01,0.010261811,,0.026181081,,
1.06,1.07023668,,0.009657245,,
0.16,0.170327511,,0.064546945,,
0.14,0.130263324,,0.069547685,,
0.13,0.13031546,,0.002426615,,
0.77,0.770019722,,2.56E-05,,
0.07,0.070313142,,0.004473456,,
0.03,0.020207207,,0.32642645,,
0.04,0.040491592,,0.01228979,,
0.03,0.040295327,,0.343177561,,
0.01,0.010283578,,0.02835779,,
0.04,0.040508375,,0.012709366,,
0.02,0.020311502,,0.015575095,,
0.43,0.430269299,,0.000626278,,
0.12,0.120111657,,0.000930473,,
0.31,0.310346721,,0.001118455,,
0.49,0.500422927,,0.021271281,,
0.45,0.450078675,,0.000174834,,
0.43,0.430172188,,0.000400438,,
0.15,0.140401139,,0.063992408,,
0.03,0.030335788,,0.01119294,,
0.25,0.260129342,,0.040517369,,
0.23,0.240373337,,0.045101465,,
0.03,0.030376739,,0.01255795,,
0.1,0.100159236,,0.001592364,,
1.05,1.050038504,,3.67E-05,,
0.08,0.080352655,,0.004408192,,
0.02,0.02046326,,0.023162989,,
0.38,0.390151662,,0.026714901,,
0.21,0.210284558,,0.00135504,,
0.02,0.020286899,,0.01434494,,
0.36,0.360111819,,0.000310608,,
0.02,0.020278544,,0.013927193,,
0.13,0.13041723,,0.00320946,,
1.39,1.380050455,,0.007157946,,
0.01,0.020358983,,1.035898316,,
0.72,0.720162491,,0.000225682,,
1.01,1.000374615,,0.009530084,,
0.02,0.010374293,,0.481285361,,
0.12,0.110336169,,0.080531924,,
2.69,2.68985874,,5.25E-05,,
0.05,0.050272839,,0.005456775,,
0.53,0.540068261,,0.018996718,,
0.18,0.180334878,,0.001860431,,
0.6,0.600308147,,0.000513579,,
0.22,0.230319476,,0.046906708,,
0.23,0.240214353,,0.044410231,,
0.22,0.210221149,,0.044449323,,
0.3,0.300344948,,0.001149826,,
0.08,0.080463998,,0.005799977,,
30.01,30.00844653,,5.18E-05,,
0.06,0.050440249,,0.159329188,,
0.04,0.040077613,,0.001940319,,
0.15,0.140191073,,0.065392845,,
0.02,0.020114964,,0.005748199,,
0.12,0.120465579,,0.003879828,,
0.08,0.08026355,,0.003294369,,
0.04,0.040184194,,0.004604859,,
0.03,0.030205844,,0.006861477,,
0.39,0.390104983,,0.000269188,,
0.08,0.090373697,,0.129671208,,
0.22,0.210330076,,0.043954202,,
0.05,0.04017343,,0.196531405,,
0.34,0.340085794,,0.000252335,,
1.58,1.580225214,,0.000142541,,
0.03,0.030516505,,0.017216822,,
0.25,0.250134699,,0.000538795,,
0.38,0.380426837,,0.001123254,,
0.05,0.050310763,,0.006215255,,
0.06,0.060491945,,0.008199079,,
0.3,0.300260306,,0.000867685,,
0.22,0.220110939,,0.000504269,,
0.06,0.050251642,,0.162472633,,
0.36,0.350293633,,0.02696213,,
2.85,2.850159425,,5.59E-05,,
0.07,0.07016432,,0.002347424,,
0.87,0.870128993,,0.000148268,,
0.28,0.290115208,,0.036125743,,
0.19,0.180106797,,0.052069491,,
0.03,0.030231309,,0.007710316,,
0.15,0.150251263,,0.00167509,,
0.02,0.020362203,,0.018110125,,
0.05,0.050175522,,0.00351045,,
0.02,0.020444596,,0.022229793,,
0.02,0.02030977,,0.015488511,,
0.88,0.870118588,,0.011228877,,
0.03,0.030377345,,0.01257817,,
0.63,0.630312699,,0.000496347,,
0.04,0.040466159,,0.011653979,,
0.16,0.160233578,,0.001459864,,
0.04,0.030233348,,0.244166289,,
0.4,0.400424283,,0.001060707,,
0.04,0.040235349,,0.005883724,,
0.3,0.300442941,,0.00147647,,
0.05,0.050068778,,0.001375563,,
0.03,0.030446952,,0.014898399,,
0.04,0.040026815,,0.000670366,,
0.08,0.080270373,,0.003379657,,
0.26,0.260380475,,0.001463367,,
0.04,0.040194444,,0.004861106,,
0.2,0.200108327,,0.000541634,,
0.24,0.230209113,,0.04079536,,
0.07,0.060294508,,0.13864989,,
0.04,0.040549881,,0.013747016,,
0.54,0.530406125,,0.017766435,,
0.25,0.260307775,,0.041231099,,
0.74,0.740229126,,0.00030963,,
0.48,0.490181281,,0.021211002,,
0.86,0.860462339,,0.000537604,,
0.16,0.16023339,,0.001458687,,
0.97,0.969994936,,5.22E-06,,
0.2,0.190392225,,0.048038874,,
0.65,0.650263936,,0.000406056,,
0.11,0.110211308,,0.001920983,,
0.02,0.020325304,,0.016265177,,
0.33,0.330347099,,0.001051814,,
0.14,0.140139843,,0.000998879,,
0.01,0.010474918,,0.04749178,,
0.02,0.020314494,,0.015724679,,
0.15,0.150223986,,0.001493241,,
0.07,0.070439751,,0.006282155,,
0.22,0.210304062,,0.044072447,,
0.42,0.410267876,,0.023171723,,
1.69,1.690217511,,0.000128705,,
0.87,0.870018604,,2.14E-05,,
1.74,1.740091615,,5.27E-05,,
0.01,0.010366877,,0.03668769,,
0.03,0.020425232,,0.319158938,,
1.69,1.690128698,,7.62E-05,,
0.04,0.040251654,,0.006291342,,
0.17,0.160314667,,0.056972545,,
0.17,0.170291436,,0.001714331,,
0.02,0.020369057,,0.018452831,,
0.28,0.290201995,,0.036435697,,
0.31,0.310185817,,0.00059941,,
0.06,0.060147266,,0.002454435,,
0.01,0.010243116,,0.024311632,,
0.03,0.020340837,,0.321972114,,
0.03,0.030534331,,0.017811024,,
0.61,0.60999128,,1.43E-05,,
1.16,1.160133847,,0.000115385,,
8.24,8.249622245,,0.001167748,,
0.07,0.070395798,,0.00565425,,
0.06,0.060202076,,0.00336793,,
0.16,0.150426646,,0.059833465,,
0.29,0.290046381,,0.000159934,,
0.45,0.450104607,,0.000232461,,
0.08,0.0804536,,0.005670001,,
0.51,0.5102178,,0.000427059,,
0.11,0.110340825,,0.003098412,,
0.09,0.090131344,,0.001459382,,
2.78,2.780060266,,2.17E-05,,
0.24,0.250080511,,0.042002128,,
0.16,0.150503664,,0.059352101,,
0.04,0.050206002,,0.255150043,,
0.38,0.380426909,,0.001123445,,
0.27,0.270384433,,0.001423828,,
0.16,0.160442083,,0.002763016,,
0.7,0.700185649,,0.000265213,,
0.02,0.02031176,,0.015588013,,
1.86,1.860111347,,5.99E-05,,
0.06,0.060339472,,0.005657861,,
0.08,0.080244084,,0.003051046,,
0.27,0.270346541,,0.001283484,,
0.1,0.110047947,,0.100479465,,
0.03,0.030257509,,0.008583623,,
0.08,0.080227723,,0.002846543,,
0.57,0.560344817,,0.016938917,,
0.2,0.200139203,,0.000696014,,
0.2,0.210135624,,0.050678118,,
0.47,0.460402165,,0.020420926,,
0.33,0.33028909,,0.000876031,,
2.19,2.180131804,,0.004506026,,
0.04,0.040213905,,0.005347631,,
0.06,0.060293757,,0.004895949,,
0.13,0.130507884,,0.003906803,,
0.15,0.150197735,,0.001318234,,
0.66,0.66018261,,0.000276683,,
0.02,0.020266559,,0.013327961,,
0.07,0.060206767,,0.139903329,,
0.03,0.020307905,,0.323069823,,
1.92,1.92012101,,6.30E-05,,
0.01,0.010319526,,0.031952615,,
0.03,0.030481047,,0.016034909,,
0.06,0.060363042,,0.006050694,,
0.8,0.810150067,,0.012687584,,
0.01,0.010368109,,0.036810932,,
6.83,6.819701646,,0.001507812,,
0.03,0.030381739,,0.012724635,,
0.12,0.120152517,,0.001270976,,
0.03,0.030452483,,0.015082759,,
1.58,1.5902895,,0.006512342,,
0.94,0.940063247,,6.73E-05,,
0.05,0.040071732,,0.198565363,,
0.16,0.160400508,,0.002503174,,
0.45,0.460188793,,0.022641762,,
0.78,0.780343981,,0.000441002,,
0.23,0.230232462,,0.001010702,,
0.05,0.050082094,,0.001641882,,
0.02,0.020266972,,0.013348615,,
0.57,0.570327673,,0.000574864,,
0.32,0.320293722,,0.000917882,,
0.01,0.01010906,,0.01090596,,
0.02,0.010360754,,0.481962321,,
0.06,0.050324666,,0.161255571,,
1.46,1.470179445,,0.006972223,,
0.79,0.790026595,,3.37E-05,,
0.02,0.010356735,,0.482163259,,
0.01,0.010297094,,0.029709352,,
0.07,0.070470381,,0.006719722,,
0.3,0.300373812,,0.001246041,,
0.12,0.13032781,,0.086065083,,
0.5,0.500073403,,0.000146807,,
0.32,0.320239055,,0.000747046,,
0.11,0.110229511,,0.00208646,,
0.01,0.010234047,,0.023404665,,
0.13,0.130413834,,0.003183342,,
2.44,2.440051447,,2.11E-05,,
0.03,0.03046143,,0.015381008,,
0.25,0.250220471,,0.000881884,,
0.22,0.2204071,,0.001850456,,
0.11,0.110147496,,0.001340872,,
0.23,0.230295036,,0.001282766,,
0.13,0.130364579,,0.002804456,,
0.13,0.130479115,,0.003685497,,
0.29,0.30033613,,0.035641827,,
1.15,1.150224082,,0.000194854,,
0.03,0.030279232,,0.009307717,,
0.03,0.020279962,,0.324001264,,
0.26,0.260306515,,0.001178904,,
0.81,0.800405302,,0.011845306,,
0.2,0.20048708,,0.0024354,,
0.09,0.090112813,,0.001253481,,
0.01,0.01035021,,0.035020989,,
0.26,0.260489753,,0.001883667,,
1.18,1.180376353,,0.000318943,,
0.02,0.020058734,,0.002936678,,
0.42,0.430435522,,0.02484648,,
0.05,0.050233216,,0.004664323,,
1.62,1.620279071,,0.000172266,,
3.63,3.630105428,,2.90E-05,,
0.73,0.730374797,,0.00051342,,
0.11,0.120249207,,0.09317461,,
0.15,0.150362744,,0.002418293,,
0.06,0.060109967,,0.001832789,,
0.01,0.010409922,,0.040992177,,
0.15,0.15012933,,0.000862198,,
0.07,0.080233132,,0.146187606,,
1.04,1.0401246,,0.000119808,,
0.03,0.040214476,,0.340482541,,
0.74,0.740126042,,0.000170327,,
0.01,0.010441889,,0.044188851,,
0.26,0.260166693,,0.000641126,,
0.02,0.020460418,,0.023020883,,
0.04,0.040430409,,0.010760234,,
0.44,0.430348654,,0.021934878,,
0.02,0.020282435,,0.014121754,,
0.15,0.150403062,,0.002687082,,
0.04,0.040276303,,0.006907584,,
0.46,0.460133773,,0.000290811,,
0.03,0.030261916,,0.008730528,,
0.16,0.16011196,,0.00069975,,
0.84,0.840129578,,0.00015426,,
1.36,1.370091256,,0.007420041,,
0.24,0.240048785,,0.000203272,,
0.01,0.010070469,,0.007046876,,
0.1,0.100309155,,0.003091551,,
1.23,1.230069382,,5.64E-05,,
0.35,0.340330499,,0.027627146,,
0.6,0.600221448,,0.00036908,,
0.43,0.43013528,,0.000314605,,
0.16,0.160142757,,0.000892232,,
0.12,0.110256801,,0.081193327,,
0.44,0.440165241,,0.000375548,,
0.16,0.150397845,,0.060013469,,
0.06,0.060386776,,0.006446267,,
0.01,0.010457572,,0.045757221,,
0.02,0.020320156,,0.016007823,,
0.41,0.410538234,,0.001312766,,
1.35,1.340096082,,0.007336235,,
0.05,0.050423295,,0.008465896,,
1.08,1.090188137,,0.009433461,,
0.11,0.110261509,,0.002377358,,
0.07,0.070152482,,0.002178316,,
0.21,0.210132667,,0.000631749,,
0.72,0.720072635,,0.000100883,,
0.18,0.180383871,,0.002132616,,
0.29,0.290237993,,0.000820665,,
0.05,0.040133878,,0.197322434,,
0.7,0.700200431,,0.00028633,,
0.63,0.630183575,,0.000291389,,
0.06,0.060531272,,0.008854531,,
0.11,0.110445311,,0.004048278,,
0.71,0.710171827,,0.00024201,,
0.26,0.260476171,,0.001831429,,
0.43,0.430454737,,0.001057527,,
1.32,1.320215456,,0.000163225,,
0.65,0.640236666,,0.015020514,,
0.86,0.870260302,,0.011930583,,
0.11,0.100075381,,0.090223811,,
0.02,0.020240465,,0.012023257,,
0.05,0.050394611,,0.00789221,,
0.15,0.150481278,,0.003208523,,
3.28,3.280132028,,4.03E-05,,
0.08,0.080260166,,0.003252078,,
1.35,1.340113413,,0.007323398,,
0.06,0.060389506,,0.006491763,,
0.12,0.120462592,,0.003854934,,
0.33,0.330141931,,0.000430095,,
0.04,0.040258308,,0.006457707,,
0.03,0.020257873,,0.324737554,,
0.04,0.040110337,,0.002758431,,
0.21,0.210152383,,0.000725631,,
0.08,0.080362712,,0.004533904,,
0.41,0.410155733,,0.000379837,,
0.19,0.190279973,,0.001473544,,
0.06,0.060460684,,0.007678065,,
0.17,0.16006329,,0.058451238,,
0.06,0.060373388,,0.006223126,,
1.17,1.170207278,,0.00017716,,
0.35,0.360161414,,0.02903261,,
0.08,0.090199746,,0.127496822,,
0.01,0.010370934,,0.037093363,,
0.76,0.770170852,,0.0133827,,
1.82,1.830375772,,0.005700974,,
1.06,1.050267214,,0.009181874,,
0.04,0.040166968,,0.004174202,,
0.31,0.310486634,,0.001569787,,
1.27,1.270152882,,0.00012038,,
0.46,0.450266222,,0.021160386,,
0.7,0.700355602,,0.000508003,,
0.51,0.520358031,,0.020309865,,
0.04,0.040309955,,0.007748874,,
0.03,0.03016775,,0.00559166,,
1.07,1.070193069,,0.000180438,,
0.04,0.040460186,,0.01150464,,
0.67,0.670203897,,0.000304325,,
0.06,0.060179517,,0.002991951,,
2.41,2.410239868,,9.95E-05,,
0.11,0.110479639,,0.004360351,,
0.51,0.510269988,,0.000529389,,
1.33,1.319991076,,0.007525507,,
0.79,0.79010431,,0.000132038,,
0.4,0.410121832,,0.02530458,,
0.16,0.16029754,,0.001859626,,
0.28,0.280473903,,0.001692511,,
